date_time,temperature,humidity,wind_speed,holiday,working_day,weather_condition,rentals
2023-01-01 00:00:00,16.236203565420876,41.10797573031718,7.851170512077179,0,1,Clear,362
2023-01-01 01:00:00,33.52142919229748,62.514056842701486,7.409363972159994,0,1,Clear,592
2023-01-01 02:00:00,26.959818254342153,82.37675015258449,27.1876374156311,0,1,Cloudy,325
2023-01-01 03:00:00,22.959754525911098,73.93349318457368,7.486385995485183,0,0,Clear,300
2023-01-01 04:00:00,9.680559213273096,78.39366887168698,8.15849178385893,0,0,Cloudy,0
2023-01-01 05:00:00,9.67983561008608,69.52700200264304,22.78194787253891,0,1,Clear,131
2023-01-01 06:00:00,6.742508365045984,71.53659387107115,13.4921952735162,1,0,Cloudy,0
2023-01-01 07:00:00,30.985284373248057,80.95173909391916,23.301316708655435,0,1,Cloudy,425
2023-01-01 08:00:00,23.033450352296263,44.98008053155116,1.9609847269315572,0,1,Clear,541
2023-01-01 09:00:00,26.242177333881365,59.36549781858843,14.62713581020153,0,0,Clear,378
2023-01-01 10:00:00,5.617534828874073,43.27256650917613,1.008408005498479,0,0,Clear,165
2023-01-01 11:00:00,34.09729556485983,89.26008047979882,1.8795961036606357,0,1,Cloudy,480
2023-01-01 12:00:00,29.973279224012654,86.64356038119679,27.193123600332328,0,1,Clear,415
2023-01-01 13:00:00,11.370173320348284,32.365608682110356,4.177361133527855,0,0,Cloudy,282
2023-01-01 14:00:00,10.454749016213018,72.33451035094131,15.972620468256514,0,1,Clear,154
2023-01-01 15:00:00,10.502135295603015,85.51489904493995,12.332868078021196,0,1,Clear,39
2023-01-01 16:00:00,14.127267288786133,40.83452070764001,10.42029978776528,0,1,Clear,333
2023-01-01 17:00:00,20.742692948967136,64.07671383315777,26.995000370618175,0,1,Clear,315
2023-01-01 18:00:00,17.958350559263472,84.92929785528251,0.654701903264685,0,1,Clear,298
2023-01-01 19:00:00,13.736874205941257,32.03675871514793,19.913690585267673,0,1,Cloudy,373
2023-01-01 20:00:00,23.355586841671386,71.84521603481039,28.901833026406514,0,1,Cloudy,293
2023-01-01 21:00:00,9.184815819561255,47.840940442353045,16.805045503855258,0,1,Clear,228
2023-01-01 22:00:00,13.764339456056545,85.46377172259183,28.104673860992754,0,1,Rainy,68
2023-01-01 23:00:00,15.99085529881075,88.26349470992207,1.567736378580713,0,1,Cloudy,209
2023-01-02 00:00:00,18.682099526511077,86.65598934680604,12.563799572224841,0,1,Rainy,134
2023-01-02 01:00:00,28.555278841790408,58.45285299944783,7.804733728861535,0,1,Clear,577
